No alignment stars matched for image 3, jw02875012001_02101_00001_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
Only 0 stars for PSF measurement in image 16, jw02875012001_02101_00004_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
Only 0 stars for PSF measurement in image 17, jw02875012001_04101_00001_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 19, jw02875012001_04101_00001_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 20, jw02875012001_04101_00001_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 21, jw02875012001_04101_00002_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 23, jw02875012001_04101_00002_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 24, jw02875012001_04101_00002_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 25, jw02875012001_04101_00003_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 27, jw02875012001_04101_00003_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 28, jw02875012001_04101_00003_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 29, jw02875012001_04101_00004_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 31, jw02875012001_04101_00004_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 stars for PSF measurement in image 32, jw02875012001_04101_00004_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 19, jw02875012001_04101_00001_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 15, jw02875012001_02101_00004_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 13, jw02875012001_02101_00004_nrcb1_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 25, jw02875012001_04101_00003_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 23, jw02875012001_04101_00002_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 16, jw02875012001_02101_00004_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 12, jw02875012001_02101_00003_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 24, jw02875012001_04101_00002_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 28, jw02875012001_04101_00003_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 11, jw02875012001_02101_00003_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 3, jw02875012001_02101_00001_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 5, jw02875012001_02101_00002_nrcb1_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 27, jw02875012001_04101_00003_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 1, jw02875012001_02101_00001_nrcb1_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 20, jw02875012001_04101_00001_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 17, jw02875012001_04101_00001_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 21, jw02875012001_04101_00002_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 9, jw02875012001_02101_00003_nrcb1_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 7, jw02875012001_02101_00002_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 29, jw02875012001_04101_00004_nrcb1_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 32, jw02875012001_04101_00004_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 31, jw02875012001_04101_00004_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
Only 0 aperture stars in image 4, jw02875012001_02101_00001_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
Only 0 aperture stars in image 8, jw02875012001_02101_00002_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
